date;region;prod_id;prod_name;client;Year;year_month;price_mean;weight_fact;discount_mean;stores_num;hasPromo;weight_predict
2019-03-01;region_0;57406;prod_name_14;client_10;2019;3;68.64;26.18;18.0;13;1;22.489066703041715
2019-03-01;region_1;57406;prod_name_14;client_10;2019;3;82.06;4.63;0.0;4;0;-3.8698243837102586
2019-03-01;region_5;57481;prod_name_12;client_10;2019;3;140.83;49.23;1.0;24;0;44.31420966218235
2019-03-02;region_5;57481;prod_name_12;client_1;2019;3;78.92;5160.86;29.0;1943;1;4280.262167523141
2019-03-01;region_5;57479;prod_name_3;client_1;2019;3;34.45;3424.86;40.0;1779;1;3251.5005040544174
2019-03-02;region_0;57481;prod_name_12;client_10;2019;3;135.96;8.24;3.0;10;0;2.541152796556447
2019-03-02;region_1;57481;prod_name_12;client_10;2019;3;141.54;3.34;0.0;3;0;1.6869088527037495
2019-03-02;region_5;57406;prod_name_14;client_10;2019;3;82.05;70.99;0.0;24;0;50.96352068622577
2019-03-03;region_5;57481;prod_name_12;client_10;2019;3;140.96;48.56;1.0;24;0;32.40958270143123
2019-03-03;region_0;57479;prod_name_3;client_10;2019;3;47.08;146.5;40.0;10;1;129.70505972369048
2019-03-03;region_0;57406;prod_name_14;client_1;2019;3;68.24;215.01;4.0;815;0;201.59994336802748
2019-03-04;region_0;57481;prod_name_12;client_1;2019;3;78.56;3341.37;27.0;1818;1;2539.2162074734865
2019-03-03;region_5;57479;prod_name_3;client_1;2019;3;65.57;449.42;8.0;1107;0;416.37244343768435
2019-03-04;region_5;57406;prod_name_14;client_10;2019;3;81.76;107.11;0.0;27;0;83.08261641937226
2019-03-01;region_0;57481;prod_name_12;client_1;2019;3;113.09;494.52;1.0;842;0;436.2779461350643
2019-03-01;region_1;57481;prod_name_12;client_1;2019;3;118.96;332.8;4.0;479;0;246.15437857138394
2019-03-04;region_5;57481;prod_name_12;client_1;2019;3;78.86;5695.26;29.0;1954;1;4378.528123350587
2019-03-01;region_5;57406;prod_name_14;client_1;2019;3;72.31;456.87;1.0;1255;0;389.27193023591497
2019-03-05;region_0;57479;prod_name_3;client_10;2019;3;47.08;164.22;40.0;10;1;157.79456486925392
2019-03-05;region_0;57406;prod_name_14;client_1;2019;3;68.31;282.5;4.0;982;0;242.00529040708176
2019-03-02;region_0;57481;prod_name_12;client_1;2019;3;78.86;3208.61;27.0;1884;1;2627.86443643879
2019-03-05;region_1;57479;prod_name_3;client_10;2019;3;47.08;86.68;40.0;5;1;59.57366650122669
2019-03-05;region_1;57406;prod_name_14;client_1;2019;3;72.98;147.74;4.0;453;0;109.38914254737257
